,,,,Global,,,Building load,,Ground_Core_Zone,,,Ground_South,,,Ground_North,,,Ground_West,,,Ground_East,,,Ground_Perimeter,,,Middle_Core_Zone,,,Middle_South,,,Middle_North,,,Middle_West,,,Middle_East,,,Middle_Perimeter,,,Top_Core_Zone,,,Top_South,,,Top_North,,,Top_West,,,Top_East,,,Top_Perimeter,,,Input Matrix,,,Output Matrix,,,,,
Month,Day,Hour,Type,Outside dry-bulb temp (F),Direct normal solar rad (Btu/hr-ft2) (weather file),Total horiz solar rad (Btu/hr-ft2) (weather file),Building cool load (sensible),Building cool load (latent),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,T_out (in Celcius),q_solar,q_IHG,Ground T_c,Ground T_p,Middle T_c,Middle T_p,Top T_c,Top T_p
1,1,20,8,52,0,0,1779.97,0,63.9992,0,72.3466,-1033.07,0,74.2035,-3057.17,0,67.7455,-3037.5,0,68.5992,-2774.49,0,69.5424,-9902.23,0,70.02265,245.139,0,74.2586,-282.147,0,76.9975,-2038.79,0,71.6762,-1986.03,0,72.4938,-2122.65,0,72.5956,-6429.617,0,73.440775,245.139,0,73.8116,-282.147,0,76.6924,-2038.79,0,71.3626,-1986.03,0,72.1876,-2122.65,0,72.29,-6429.617,0,73.13315,11.11,0,0,22.41,21.12,23.48,23.02,23.23,22.85
1,1,21,8,51,0,0,1772.6,0,63.0783,0,71.6571,-1372.68,0,73.0798,-3265.84,0,66.9353,-3302.12,0,67.6487,-2978.57,0,68.6985,-10919.21,0,69.090575,244.218,0,73.591,-1133.07,0,75.0402,-2423.78,0,70.7258,-2461.64,0,71.3361,-2512.99,0,71.4679,-8531.48,0,72.1425,244.218,0,73.1661,-1133.07,0,74.7406,-2423.78,0,70.4189,-2461.64,0,71.0356,-2512.99,0,71.1677,-8531.48,0,71.8407,10.56,0,0,22.03,20.61,23.11,22.30,22.87,22.13
1,1,22,8,48,0,0,1750.51,0,60.3158,0,71.1312,-2013.08,0,71.9048,-3802,0,66.0248,-3884.36,0,66.6422,-3546.55,0,67.7222,-13245.99,0,68.0735,241.456,0,72.9625,-2117.08,0,73.1211,-3053.47,0,69.6427,-3169.85,0,70.0778,-3186.08,0,70.2082,-11526.48,0,70.76245,241.456,0,72.4943,-2117.08,0,72.7724,-3053.47,0,69.2872,-3169.85,0,69.7283,-3186.08,0,69.8589,-11526.48,0,70.4117,8.89,0,0,21.74,20.04,22.76,21.53,22.50,21.34
1,1,23,8,47,0,0,1743.14,0,59.395,0,70.6332,-2497.81,0,70.9014,-4179.53,0,65.3296,-4318.68,0,65.8636,-3973.42,0,66.9304,-14969.44,0,67.25625,240.535,0,72.3122,-2831.29,0,71.4487,-3476.72,0,68.6927,-3674.66,0,68.9705,-3670.24,0,69.0906,-13652.91,0,69.550625,240.535,0,71.7415,-2831.29,0,71.0052,-3476.72,0,68.2418,-3674.66,0,68.5263,-3670.24,0,68.6463,-13652.91,0,69.1049,8.33,0,0,21.46,19.59,22.40,20.86,22.08,20.61
1,1,24,8,44,0,0,1721.04,0,56.6325,0,70.1844,-3006.94,0,69.9558,-4607.78,0,64.5805,-4781.43,0,65.0559,-4438.29,0,66.1092,-16834.44,0,66.42535,237.772,0,71.6497,-3527.51,0,69.8916,-3956.69,0,67.6943,-4208.11,0,67.851,-4194.43,0,67.9576,-15886.74,0,68.348625,237.772,0,70.9368,-3527.51,0,69.3172,-3956.69,0,67.1118,-4208.11,0,67.276,-4194.43,0,67.3824,-15886.74,0,67.77185,6.67,0,0,21.21,19.13,22.03,20.19,21.63,19.87
1,2,1,4,43,0,0,1713.67,0,55.7116,0,69.7479,-3241.89,0,69.2514,-4801.65,0,64.0133,-4972.62,0,64.4625,-4651.31,0,65.491,-17667.47,0,65.80455,236.852,0,70.9762,-3927.97,0,68.5932,-4215.68,0,66.8325,-4480.05,0,66.9078,-4475.05,0,66.994,-17098.75,0,67.331875,236.852,0,70.105,-3927.97,0,67.8749,-4215.68,0,66.1058,-4480.05,0,66.1888,-4475.05,0,66.2753,-17098.75,0,66.6112,6.11,0,0,20.97,18.78,21.65,19.63,21.17,19.23
1,2,2,4,42,0,0,1706.31,0,54.7908,0,69.3618,-3485.5,0,68.5959,-4990.98,0,63.502,-5174.44,0,63.9244,-4861.79,0,64.9288,-18512.71,0,65.237775,235.931,0,70.3158,-4285.76,0,67.4064,-4449.92,0,66.0117,-4735.3,0,66.0161,-4730.75,0,66.0874,-18201.73,0,66.3804,235.931,0,69.2779,-4285.76,0,66.54,-4449.92,0,65.1361,-4735.3,0,65.1491,-4730.75,0,65.2207,-18201.73,0,65.511475,5.56,0,0,20.76,18.47,21.29,19.10,20.71,18.62
1,2,3,4,41,0,0,1698.94,0,53.8699,0,69.0057,-3862.54,0,67.8799,-5268.81,0,62.9758,-5511.39,0,63.3492,-5172.65,0,64.3402,-19815.39,0,64.636275,235.01,0,69.6756,-4716.32,0,66.2653,-4739.44,0,65.197,-5083.4,0,65.1236,-5053.62,0,65.193,-19592.78,0,65.444725,235.01,0,68.459,-4716.32,0,65.2467,-4739.44,0,64.166,-5083.4,0,64.1044,-5053.62,0,64.1727,-19592.78,0,64.42245,5.00,0,0,20.56,18.13,20.93,18.58,20.26,18.01
1,2,4,4,42,0,0,1706.31,0,54.7907,0,68.649,-3781.73,0,67.5155,-5179.98,0,62.7157,-5392.02,0,63.0835,-5076.34,0,64.0484,-19430.07,0,64.340775,235.931,0,69.039,-4720.72,0,65.4389,-4699.35,0,64.6025,-5021.15,0,64.4966,-5003.54,0,64.5528,-19444.76,0,64.7727,235.931,0,67.6365,-4720.72,0,64.2577,-4699.35,0,63.4085,-5021.15,0,63.3146,-5003.54,0,63.37,-19444.76,0,63.5877,5.56,0,0,20.36,17.97,20.58,18.21,19.80,17.55
1,2,5,4,41,0,0,1698.94,0,53.8699,0,68.3656,-3921.54,0,67.048,-5275.53,0,62.3585,-5489.69,0,62.7105,-5198.32,0,63.6479,-19885.08,0,63.941225,235.01,0,68.4514,-4903.62,0,64.5878,-4821.26,0,63.9518,-5146.08,0,63.8109,-5142.23,0,63.854,-20013.19,0,64.051125,235.01,0,66.8632,-4903.62,0,63.2448,-4821.26,0,62.5945,-5146.08,0,62.4668,-5142.23,0,62.5099,-20013.19,0,62.704,5.00,0,0,20.20,17.75,20.25,17.81,19.37,17.06
1,2,6,4,39,0,0,1684.21,0,52.0282,0,68.0831,-3993.17,0,66.6115,-5333.44,0,61.9723,-5530.34,0,62.321,-5241.9,0,63.2479,-20098.85,0,63.538175,233.168,0,67.8873,-5028.96,0,63.7898,-4927.23,0,63.3041,-5231.01,0,63.1434,-5225.02,0,63.1797,-20412.22,0,63.35425,233.168,0,66.1107,-5028.96,0,62.272,-4927.23,0,61.7726,-5231.01,0,61.6247,-5225.02,0,61.6609,-20412.22,0,61.83255,3.89,0,0,20.05,17.52,19.94,17.42,18.95,16.57
1,2,7,4,40,0,0,1691.57,0,52.949,0,67.7956,-3923.35,0,66.327,-5235.1,0,61.7865,-5426.21,0,62.1306,-5144.46,0,63.037,-19729.12,0,63.320275,234.089,0,67.3232,-4979.41,0,63.188,-4851.29,0,62.8286,-5145.67,0,62.6551,-5140.53,0,62.6851,-20116.9,0,62.8392,234.089,0,65.3483,-4979.41,0,61.4991,-4851.29,0,61.1248,-5145.67,0,60.9653,-5140.53,0,60.9953,-20116.9,0,61.146125,4.44,0,0,19.89,17.40,19.62,17.13,18.53,16.19
